<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1994.01.01	1.47800	1.51200	1.47400	1.50740	37811	0	50
1994.02.01	1.50640	1.50970	1.45400	1.48580	45100	0	50
1994.03.01	1.48470	1.50600	1.47340	1.48400	40803	0	50
1994.04.01	1.48350	1.52600	1.46070	1.52000	36861	0	50
1994.05.01	1.51600	1.52100	1.48500	1.51150	34782	0	50
1994.06.01	1.51090	1.55950	1.50150	1.54480	43572	0	50
1994.07.01	1.54320	1.57700	1.52000	1.54400	47151	0	50
1994.08.01	1.55250	1.56250	1.52040	1.53520	52313	0	50
1994.09.01	1.53430	1.59020	1.53150	1.57770	49082	0	50
1994.10.01	1.57660	1.64200	1.57290	1.63650	42411	0	50
1994.11.01	1.63550	1.64500	1.55850	1.56620	47442	0	50
1994.12.01	1.56540	1.57700	1.53900	1.56620	37762	0	50
1995.01.01	1.56370	1.60360	1.54750	1.58000	41922	0	50
1995.02.01	1.58050	1.59790	1.54910	1.58550	43500	0	50
1995.03.01	1.58480	1.66840	1.56350	1.62200	99053	0	50
1995.04.01	1.62430	1.62800	1.58470	1.60920	66370	0	50
1995.05.01	1.61000	1.62500	1.54610	1.58560	71603	0	50
1995.06.01	1.58600	1.61850	1.56840	1.59570	59942	0	50
1995.07.01	1.59210	1.60650	1.58430	1.59690	39071	0	50
1995.08.01	1.59650	1.61200	1.52900	1.54980	54803	0	50
1995.09.01	1.55100	1.59900	1.54200	1.58500	43141	0	50
1995.10.01	1.58150	1.59610	1.56600	1.58100	41792	0	50
1995.11.01	1.58070	1.58700	1.52330	1.53360	46002	0	50
1995.12.01	1.53380	1.56300	1.52030	1.54980	43761	0	50
1996.01.01	1.54700	1.56050	1.49700	1.51490	42862	0	50
1996.02.01	1.51330	1.55350	1.51110	1.53250	34561	0	50
1996.03.01	1.53180	1.54150	1.51500	1.52690	32161	0	50
1996.04.01	1.52500	1.53320	1.49800	1.50580	33042	0	50
1996.05.01	1.50540	1.55490	1.48900	1.55280	35273	0	50
1996.06.01	1.55230	1.55750	1.52700	1.55310	32670	0	50
1996.07.01	1.55120	1.56500	1.53680	1.55750	35073	0	50
1996.08.01	1.55620	1.56600	1.53400	1.56500	28862	0	50
1996.09.01	1.56070	1.57260	1.54850	1.56570	29351	0	50
1996.10.01	1.56510	1.63570	1.56020	1.62660	35433	0	50
1996.11.01	1.62600	1.69200	1.62490	1.68230	44751	0	50
1996.12.01	1.68270	1.71730	1.60950	1.71450	56142	0	50
1997.01.01	1.71000	1.71330	1.59450	1.60220	64732	0	50
1997.02.01	1.59750	1.64750	1.59690	1.62920	51510	0	50
1997.03.01	1.62770	1.64800	1.58490	1.63850	44571	0	50
1997.04.01	1.63800	1.65600	1.61540	1.62450	42312	0	50
1997.05.01	1.62400	1.66080	1.60000	1.64150	57662	0	50
