<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1994.01.02	1.47800	1.49600	1.47400	1.49300	9165	0	50
1994.01.09	1.49200	1.50700	1.48670	1.49280	9505	0	50
1994.01.16	1.48820	1.50400	1.48700	1.49230	9325	0	50
1994.01.23	1.49100	1.51200	1.48950	1.49540	8195	0	50
1994.01.30	1.49300	1.50970	1.47200	1.47690	12535	0	50
1994.02.06	1.47400	1.48850	1.45400	1.46250	10785	0	50
1994.02.13	1.46400	1.49400	1.46250	1.48200	11905	0	50
1994.02.20	1.48000	1.49430	1.47170	1.48860	10165	0	50
1994.02.27	1.48850	1.50050	1.48250	1.49010	8665	0	50
1994.03.06	1.48900	1.50600	1.48500	1.50010	7115	0	50
1994.03.13	1.50030	1.50110	1.48450	1.49110	8265	0	50
1994.03.20	1.48900	1.50400	1.48040	1.49710	9435	0	50
1994.03.27	1.49900	1.50100	1.47100	1.47370	11275	0	50
1994.04.03	1.46950	1.47880	1.46070	1.47610	7725	0	50
1994.04.10	1.47700	1.48050	1.46600	1.47160	7085	0	50
1994.04.17	1.47080	1.49900	1.46760	1.48860	8945	0	50
1994.04.24	1.48850	1.52600	1.48800	1.52000	10485	0	50
1994.05.01	1.51600	1.52100	1.48900	1.49360	9525	0	50
1994.05.08	1.49060	1.50350	1.48500	1.49910	7845	0	50
1994.05.15	1.49760	1.51520	1.49530	1.50650	8525	0	50
1994.05.22	1.50500	1.51320	1.50230	1.51080	6745	0	50
1994.05.29	1.51020	1.52080	1.50150	1.50550	7425	0	50
1994.06.05	1.50400	1.51320	1.50200	1.50950	7205	0	50
1994.06.12	1.50850	1.53800	1.50700	1.53550	8935	0	50
1994.06.19	1.53420	1.55690	1.52700	1.55300	12015	0	50
1994.06.26	1.55370	1.55950	1.52960	1.53800	12795	0	50
1994.07.03	1.53480	1.55330	1.53220	1.55000	10155	0	50
1994.07.10	1.55500	1.57700	1.55300	1.56200	10405	0	50
1994.07.17	1.56160	1.56650	1.52000	1.52750	13415	0	50
1994.07.24	1.53070	1.54530	1.52050	1.54400	10515	0	50
1994.07.31	1.55250	1.55350	1.53300	1.54200	8895	0	50
1994.08.07	1.54380	1.55460	1.52960	1.54800	10505	0	50
1994.08.14	1.54490	1.55430	1.52620	1.54770	12185	0	50
1994.08.21	1.54900	1.56250	1.52300	1.53050	13665	0	50
1994.08.28	1.52770	1.55260	1.52040	1.55260	11975	0	50
1994.09.04	1.54650	1.55700	1.53850	1.55380	10785	0	50
1994.09.11	1.55160	1.59020	1.54950	1.57920	12675	0	50
1994.09.18	1.57790	1.58420	1.56220	1.57870	10345	0	50
1994.09.25	1.57660	1.58690	1.56850	1.57770	10365	0	50
1994.10.02	1.57660	1.59700	1.57290	1.58630	9315	0	50
1994.10.09	1.58500	1.59780	1.57580	1.59670	8235	0	50
1994.10.16	1.59100	1.63590	1.59100	1.62650	12045	0	50
1994.10.23	1.62710	1.64200	1.61550	1.62310	10335	0	50
1994.10.30	1.61850	1.64500	1.60470	1.61620	16135	0	50
1994.11.06	1.61640	1.62470	1.59350	1.59810	11195	0	50
1994.11.13	1.59520	1.59700	1.56310	1.56670	10955	0	50
1994.11.20	1.56540	1.57660	1.55950	1.56310	6605	0	50
1994.11.27	1.56150	1.57300	1.55680	1.55970	8505	0	50
1994.12.04	1.56000	1.57060	1.55400	1.56050	7885	0	50
1994.12.11	1.56000	1.56700	1.55610	1.56120	6305	0	50
1994.12.18	1.55950	1.56300	1.53900	1.54700	8075	0	50
1994.12.25	1.54500	1.57700	1.53950	1.56620	12025	0	50
1995.01.01	1.56370	1.56750	1.54750	1.55000	8235	0	50
1995.01.08	1.55100	1.57650	1.55030	1.57050	10125	0	50
1995.01.15	1.56850	1.59220	1.56090	1.58860	9525	0	50
